plot_id,longitude,latitude,basal_area,density,mean_dbh,max_dbh,cv_dbh,plot_area,elevation,mean_dbh_large,total_richness,total_simpson,AM,EM,cmi_mean,bio11_tmin,soil_ph_0_200,soil_n_0_200
923,121.224216039408,23.8713302662708,49.8425187406275,727.430009436929,20.4378378378378,104.2,105.773712271526,0.050864,1940,64.16,5,2.23137206269859,0.32486343908738,0.67513656091262,219.2,7.95000000000004,5.0475,3.34125
924,121.253537989852,23.8712214976475,30.6220848725082,343.8995215311,24.4304347826087,118.4,96.9762581723074,0.06688,2666,47.5714285714286,6,1.3284272099167,0.0771494059839368,0.922850594016063,204.2,3.55000000000001,4.8575,3.86525
925,121.015508190216,23.8466094954623,37.3528613369723,1266.53532226288,18.1944444444444,42.4,36.9081429226775,0.056848,1407,31.25,8,1.57682271678377,0.799704646740969,0.200295353259031,263.8,12.65,5.0525,1.666
926,121.047412985435,23.8444240720769,30.6722553709612,831.485587583149,16.6270833333333,66.8,84.4851922556809,0.057728,1093,45.5,12,2.55832487632187,0.856227249431271,0.12952514447931,220.1,14.65,5.155,1.69025
927,121.074366460255,23.8465311330576,74.677069714632,2212.91866028708,16.0963963963964,93.3,81.5063755360894,0.05016,2101,61.7,19,4.16591988288002,0.481173868589651,0.492418462606127,219.3,8.45000000000005,4.9975,4.08175
928,121.103775480759,23.8422767357196,30.9991431355188,1002.67379679144,18.2875,41,42.5214627193896,0.047872,2914,31.24,4,1.65580183301675,0.015945384106586,0.984054615893414,248.6,3.15000000000003,4.95,4.079
929,121.138394741818,23.8420401496933,19.5150707019094,1406.3906390639,12.28,26,41.7029919353222,0.053328,3120,23.72,5,1.29171883632538,0.0621963490487402,0.93780365095126,251.7,1.85000000000002,4.8425,3.65475
930,121.165296294829,23.8443567023822,53.0114643340089,2196.16376531271,14.3192660550459,80.1,70.9593546824718,0.049632,2707,49.62,2,1.05668684228583,0,1,244.2,3.25000000000006,4.89,3.49175
931,121.194634247311,23.8442537250384,64.664112669387407,2349.21328671329,17.2848837209302,38.7,41.8437692431886,0.036608,2748,34.4,2,1.05379398690512,0,1,242.9,3.45000000000005,4.955,3.7665
932,121.224207183205,23.8444032315447,75.0397842465646,736.531986531986,22.2,120.2,129.077995934396,0.066528,2357,80.125,8,3.5787378780105,0.566567567622005,0.433432432377995,242.3,5.55000000000001,4.8575,3.956
933,121.251198447128,23.846683077093,6.79761118756144,368.265993265993,13.8285714285714,31.5,49.0351875617908,0.057024,2349,22.65,5,1.70492113410906,1,0,218.9,5.85000000000002,4.8425,3.319
934,121.047305736534,23.8174758518575,19.5173789444702,909.777533644604,13.677358490566,61.8,68.4821213880095,0.058256,741,33.5,12,6.36728290790694,0.948352241528539,0.0516477584714609,185.6,16.15,5.1675,1.392
935,121.135617897368,23.8171665811723,33.587161989855,426.136363636364,21.0233333333333,111.5,114.645774663345,0.0704,2350,54.8714285714286,9,3.34303878749479,0.665246311007849,0.328880908703287,248.4,5.15000000000003,4.92,3.41625
936,121.165268473672,23.8172471113564,42.3734288194678,264.270613107822,28.1428571428571,130.6,130.344649298902,0.052976,2354,61.16,5,1.09472699752206,0.0332322487092416,0.966767751290758,243.3,5.45000000000005,4.955,3.80475
937,121.194844159263,23.8171607071343,54.1349809291912,816.087706331608,25.4452830188679,62.5,55.7075546093909,0.064944,2232,51.7666666666667,4,1.26480118059022,0.0519616202829297,0.94803837971707,241.5,5.55000000000001,4.94,3.7775
938,121.224229498011,23.8171783445031,80.997723137544,495.867768595041,36.6333333333333,123.5,75.740450960585,0.0484,2550,75.96,5,1.81658708381444,0.566141315231343,0.433858684768657,248.4,4.35000000000002,4.8425,3.03625
939,121.251102738641,23.8149221732703,14.0812040164642,968.013468013467,11.7231884057971,48.6,59.393787566242104,0.07128,2422,26.8125,13,7.46405917609663,0.308250169051541,0.504840093125843,240.8,6.65000000000003,4.94,3.56
940,121.02039099841,23.7879270434163,8.50046323686017,596.433952787544,11.0868421052632,42.4,69.9409039493716,0.063712,878,25.4833333333333,8,3.14441148545614,0.765811536044094,0.234188463955906,178.8,16.35,5.2625,1.63575
941,121.047564133431,23.7903119263009,31.503034332202,805.785123966942,18.5897435897436,73.7,67.2335414669745,0.0484,1322,41.62,11,2.73519593465122,0.92883035416898,0,177.9,12.35,5.3125,1.9745
942,121.076826321352,23.7905192172716,13.6871808033347,579.138492361633,15.3405405405405,38.3,53.5178991791623,0.063888,1058,30.1333333333333,11,3.97266760581978,0.923088115421563,0.0769118845784372,203.4,14.65,5.335,2.274
943,121.138230791466,23.787905012626,37.5243643039521,1653.66350067843,14.9128205128205,49.5,54.9291508885725,0.070752,1691,38.5,10,3.25779272191982,0.177501794810923,0.822498205189077,250.4,10.7500000000001,5.12,2.194
944,121.165122115131,23.7901039383128,23.8577208870998,866.130820399114,17.476,40.2,38.906308463256,0.057728,2288,28.4,6,1.68035378419458,0.518421738700484,0.481578261299516,237.8,6.35000000000002,4.905,3.425
945,121.194593494555,23.7902410759386,18.2870782368563,1688.31168831169,10.9923076923077,27.7,37.7804416718531,0.0616,2504,21.8833333333333,8,1.87279824847241,0.80231809923433,0.19768190076567,243.3,4.35000000000002,4.8725,3.164
946,121.223929943755,23.790067794929602,42.660197846067,568.181818181818,22.4805555555556,91,95.7645259175039,0.06336,2719,59.2142857142857,3,1.89012894066993,0.246463735792928,0.753536264207072,257.3,3.15000000000003,4.8425,3.10625
947,121.017883756546,23.76307214325,20.660481160492,672.846889952154,16.1777777777778,50.9,71.0659694797151,0.06688,1335,40.1285714285714,14,4.82538519044814,0.967278192196945,0.0327218078030545,231.8,13.35,5.235,1.80775
948,121.047542236781,23.7631705679677,20.0534737764358,1403.34063526834,12.6256097560976,30.4,37.8325023986924,0.058432,838,24.9333333333333,12,5.97178791964911,0.505186242096933,0.494813757903067,175,16.95,5.255,1.48525
949,121.076700613809,23.7631961362445,22.9347738685221,990.25974025974,14.4065573770492,46,65.4079706586984,0.0616,1716,35.4833333333333,9,3.50779111024451,0.838660173313628,0.0892156167685571,199.8,8.95000000000005,5.1275,3.47775
950,121.108759724724,23.7655463090329,43.8926723598388,1098.16653934301,16.3478260869565,105.3,95.7863817849102,0.062832,2379,55.7857142857143,13,3.56375376285096,0.821171001762281,0.161023909669778,229.9,6.55000000000001,5.09,2.75725
951,121.135869708006,23.7631338861785,55.5205667356651,1160.37131882202,22.1551724137931,47.6,49.5337102025465,0.049984,2424,42.26,12,1.31075205068779,0.131015570183661,0.804888869844976,238.8,5.85000000000002,5.055,3.783
952,121.164910409281,23.7631970990225,54.3762297164492,609.82865302237,23.2292682926829,105.5,106.375426169461,0.067232,2217,72.5571428571428,10,1.40517506632007,0.93461570770157,0.0653842922984299,222.3,7.25000000000006,4.925,3.207
953,121.194468432953,23.7628426358979,47.0808899043993,636.618283677108,28.395,66.5,41.4930426865153,0.062832,2591,47.55,2,1.34068644200424,0,1,231,4.15000000000003,4.9425,3.01175
954,121.281600966498,24.4965809928977,94.3819916649817,390.502967822555,48.07,147,59.0951210853409,0.051216,2855,84.5,2,1.79872457380943,0,1,197.5,1.75000000000006,4.835,3.42475
955,121.311662790945,24.4962525043588,22.7835167222271,901.875901875901,15.364,39,60.8294975014973,0.05544,1891,35.3166666666667,11,2.3383273601329,0.185868010160551,0.814131989839449,181.7,8.15000000000003,5.005,2.7705
956,121.346074971584,24.491877592536,64.9166512569757,509.404388714734,31.3192307692308,97,82.482827092582,0.05104,2518,73.8,7,2.11016580922408,0.465212366400118,0.518899144174017,195.5,3.65000000000003,4.905,3.433
957,121.371093684129,24.4966793251614,59.3361166723932,511.546331482023,31.1178571428571,101.5,73.8000636706159,0.054736,2200,66.5,9,1.56375220469759,0.913829082477642,0.0861709175223586,193.6,5.35000000000002,4.8975,3.3775
958,121.400803366837,24.4918199972201,17.25332675948,534.005468215994,17.808,39.9,55.6402210737009,0.046816,989,33.64,10,5.35898496607232,0.820646304893107,0,179.7,10.05,5.21,1.64625
